,country,Social_Support,Freedom_Choice,Generosity,Percep_Corruption,Pos_Affect,Security,HumanRights
0,Andorra,0,0.7522908366533865,0,0.5495446784291406,0.4275398406374502,0.3214641434262948,0.4429780876494024
1,Argentina,0,0.7702891326021934,0,0.7803304372596497,0.44391824526420737,0.6054336989032901,0.597457627118644
2,Australia,0,0.753557639271925,0,0.624080056733118,0.4437396580253723,0.49820739106453393,0.4743519029233315
3,Bangladesh,0,0.7435,0,0.7127261904761903,0.45875,0.4625,0.454375
4,Bolivia,0,0.7386550556361877,0,0.7853410740203193,0.47641509433962265,0.5740203193033382,0.6236090953072085
5,Brazil,0,0.7448354143019296,0,0.839168153072807,0.45275255391600455,0.6745175936435869,0.6316685584562997
6,Myanmar,0,0.695875,0,0.6811547619047619,0.45625,0.405,0.5172916666666667
7,Chile,0,0.72715,0,0.6963714285714284,0.463,0.6485,0.596
8,China,0,0.7226119894598156,0,0.6153162055335969,0.4625329380764163,0.4579216073781291,0.4489459815546772
9,Taiwan,0,0.7204006541291905,0,0.702721644667679,0.4650449713818479,0.39084219133278825,0.5204415372035978
10,Colombia,0,0.8154276315789474,0,0.8821804511278195,0.38651315789473684,0.525,0.7100328947368421
11,Cyprus,0,0.6635500000000001,0,0.730957142857143,0.4705,0.531,0.5345
12,Ecuador,0,0.7631666666666667,0,0.8222857142857142,0.36916666666666664,0.523125,0.6260416666666667
13,Ethiopia,0,0.6596747967479675,0,0.7589314750290361,0.45426829268292684,0.5461382113821138,0.6191056910569106
14,Germany,0,0.7392342931937173,0,0.525177636499626,0.4582787958115183,0.4667866492146597,0.4273560209424084
15,Greece,0,0.611,0,0.7836785714285713,0.551875,0.6054166666666667,0.6147916666666666
16,Guatemala,0,0.7631753948462178,0,0.8460752879705499,0.39754779717373234,0.5681629260182877,0.6519118869492935
17,"Hong Kong SAR, China",0,0.664,0,0.5379277108433734,0.5253012048192771,0.5112048192771085,0.5549397590361446
18,Indonesia,0,0.75896875,0,0.7605535714285713,0.407265625,0.40453125,0.486328125
19,"Iran, Islamic Rep.",0,0.6544362908605738,0,0.6478318879252836,0.5542028018679119,0.45913942628418947,0.5802201467645097
20,Iraq,0,0.562375,0,0.818452380952381,0.5435416666666667,0.3908333333333333,0.7525
21,Japan,0,0.6240206947524021,0,0.5799070847851336,0.4399482631189948,0.5951589061345159,0.5048041389504804
22,Kazakhstan,0,0.6679467084639498,0,0.6112404836542769,0.4300548589341693,0.5227272727272727,0.47413793103448276
23,Jordan,0,0.7118453865336658,0,0.7273839211495071,0.4790108063175395,0.3260598503740648,0.516209476309227
24,South Korea,0,0.685582329317269,0,0.644130808950086,0.5172690763052209,0.5716867469879519,0.5234939759036145
25,Kyrgyzstan,0,0.7998749999999999,0,0.7990833333333333,0.3410416666666667,0.4708333333333333,0.5404166666666667
26,Lebanon,0,0.6282083333333334,0,0.7651904761904762,0.4925,0.466875,0.6764583333333334
27,"Macau SAR, China",0,0.6451612903225806,0,0.6280826700181539,0.4887585532746823,0.43548387096774194,0.5039100684261975
28,Malaysia,0,0.7084920030464584,0,0.744967903383745,0.49295506473724293,0.5969154607768469,0.5906321401370906
29,Mexico,0,0.8144335825186889,0,0.8398176291793314,0.37564692351926393,0.6049453709028177,0.6707878090856815
30,New Zealand,0,0.7342478713339641,0,0.48405189890525746,0.4160359508041627,0.42786187322611163,0.40491958372753073
31,Nicaragua,0,0.7969166666666666,0,0.7242619047619049,0.4166666666666667,0.4822916666666667,0.6920833333333334
32,Nigeria,0,0.6180274858528698,0,0.813962351310775,0.47130153597413094,0.5282942603071948,0.6653193209377526
33,Pakistan,0,0.7634085213032582,0,0.7829359112065879,0.41290726817042606,0.45827067669172933,0.5839598997493735
34,Peru,0,0.7614642857142857,0,0.8906428571428571,0.45571428571428574,0.7185714285714285,0.7341071428571428
35,Philippines,0,0.7068333333333333,0,0.6425595238095239,0.395625,0.49541666666666667,0.4225
36,Puerto Rico,0,0.8377107364685005,0,0.8457092153631639,0.3986246672582076,0.42369121561668144,0.6583850931677019
37,Romania,0,0.7305887032617343,0,0.7712580975110808,0.5071599045346062,0.44311853619729513,0.6519490851233095
38,Russian Federation,0,0.6493093922651934,0,0.7015627466456195,0.49060773480662984,0.5533149171270718,0.539364640883978
39,Serbia,0,0.654923518164436,0,0.7617590822179733,0.5090822179732314,0.5088432122370937,0.5779158699808795
40,Vietnam,0,0.8045833333333334,0,0.6635357142857143,0.388125,0.48583333333333334,0.446875
41,Zimbabwe,0,0.6081893004115226,0,0.7835861258083482,0.6154320987654321,0.5440329218106996,0.7127572016460906
42,Tajikistan,0,0.7716666666666667,0,0.4017857142857143,0.35854166666666665,0.3177083333333333,0.4220833333333333
43,Thailand,0,0.6334,0,0.6513333333333333,0.4595,0.4811666666666667,0.5198333333333334
44,Tunisia,0,0.5847682119205299,0,0.7671712393566698,0.5275248344370861,0.39445364238410596,0.6270695364238411
45,Turkey,0,0.6539544513457557,0,0.5955042886719905,0.4842650103519669,0.5349896480331263,0.5709109730848861
46,Egypt,0,0.6132916666666667,0,0.5904166666666667,0.5679166666666666,0.3854166666666667,0.6327083333333333
47,United States,0,0.7426040061633282,0,0.7198492185780321,0.46908705701078585,0.5623073959938367,0.5822419106317411
