group,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Ladder Rank,maternal_mortality_ratio_per100k,adolescent_fetility_per1k,school_secondary_enrollment_gpi,women_seats_parliament,literacy_rate,natural_resource_depletion,life_expectancy,income_inequality,female_suicide_per100k,male_suicide_per100k,test,Baseline Score,Baseline Rank,Baseline Rank Change,Baseline Rank Change (Abs)
Africa,4.43728807992857,0.06859269461904763,4.571729767904762,4.302846392,8.015192872023809,0.6823974187857144,56.025472369523825,0.7120485987380955,-0.009159610404761907,0.7686167288333332,1.9723167419999998,0.47189367783333325,0.8572375327142856,0.3897338792142858,0.3781126817142857,0.19295196383333327,0.1077998883333333,2.0395620012142857,10.0,0.9631979135595288,0.19481464247654856,0.0021176788286569053,0.0469400131518346,0.145977180330957,0.017516535744065233,63.35476190476191,0.0941143579606403,0.016903033888294824,0.03646633875462854,2.1573842302878603,3.3093101298563115,10.0,0.0,0.0
Asia,5.237155981079999,0.04332616560000001,5.3220752430000005,5.152236719239999,9.23758991252,0.8221483325999999,65.1372659296,0.8389918542000002,0.06968301551999997,0.73727185992,1.972316741999999,0.8507588959600001,1.1873210990400003,0.71777267936,0.5302602852,0.24509577272000005,0.12803709052,1.57790676592,9.0,0.6919855721158038,0.22147441530110884,0.006899821024076042,0.1304936347413146,0.6175786029447702,0.0230290121904776,73.324,0.24969471329045684,0.03623026796794872,0.097134477568552,2.6810311658330126,4.672579581355812,8.0,-1.0,1.0
Balkan,5.544500052875,0.046440967875,5.6355243325,5.453475773375,9.822037578,0.84414784625,68.481894495,0.757592037375,-0.073797262,0.889267072125,1.972316742,1.031900458125,1.2392826825,0.8381845280000001,0.432698685625,0.150202836,0.029904355,1.82232835875,6.0,0.09514293090730316,0.16179357073494657,0.009294756533228895,0.23029464954479886,0.8967943119685892,0.007657845658392693,77.325,0.3008605120032159,0.033183997853035004,0.12542622964731062,3.779720279720279,5.956818684117413,5.0,-1.0,1.0
Carribean,5.37292492375,0.10158329825000001,5.57202821975,5.17382162825,9.085615635749999,0.8265823125,63.001527785,0.7800008952499999,0.0361728395,0.8104719519999999,1.9723167419999998,0.8036565485,1.19779391575,0.64088276775,0.45955678825000007,0.22293329625,0.08077688375,1.9673240185,7.0,0.8508022147842922,0.2647152073262969,0.004690524398271641,0.09167591428470277,0.3946020826775157,0.011783964193688257,71.35000000000001,0.19042886137000223,0.01744026700665862,0.07223570050730901,4.141891891891891,4.456487229922242,9.0,2.0,2.0
Europe,6.248385701857145,0.04028436800000001,6.327343038142857,6.169428365607145,10.250017575035713,0.8897911353214285,69.9605718342857,0.7904277081785714,-0.06837876328571428,0.6757507526071429,1.9723167419999987,1.164546992035714,1.3470894822500004,0.8914192169285716,0.47205381557142845,0.1537864476785714,0.16775698800000005,2.0517372403928573,4.0,0.08769775243891638,0.1325350693566651,0.009379157434040528,0.24847626174583848,0.8903511513212788,0.012284379826367294,78.85000000000001,0.29656568191175536,0.04163969619618778,0.17422397001700762,4.184083601286175,6.651645722611404,3.0,-1.0,1.0
Middle East,5.354975025000001,0.05081682583333333,5.454575995666666,5.255374054083333,9.907420476166665,0.8114932824999999,66.02369530916667,0.72465902075,-0.05835150150000001,0.7625673264999998,1.972316742,1.0583637181666667,1.1621545006666667,0.7496855184166668,0.393226883,0.16041813658333334,0.11170556666666664,1.7194164195833335,8.0,0.32876090837729116,0.2489267244920946,0.00902863279240078,0.13387912348718267,0.8355073400173836,0.032263016882713186,75.61666666666666,0.329910422042946,0.023756615756867192,0.05854856270402108,2.464516129032258,5.311223871041035,7.0,-1.0,1.0
Nordic,7.560059928799999,0.0390672066,7.636631584199999,7.4834882736,10.806484986,0.9527575732000001,72.620976258,0.9488805652,0.09996224559999999,0.31794843079999996,1.9723167419999998,1.3370164396,1.4958125593999998,0.9871979474,0.6619671939999999,0.265121409,0.3987650602,2.4141658782,1.0,0.032174078232550474,0.04913511672104876,0.009598928034650822,0.3881278843178417,0.8639100353223413,0.013248149860461961,82.08,0.2645844786417974,0.05791334081859085,0.16105965044647325,2.781045751633987,8.243581961753911,1.0,0.0,0.0
North America,6.544488906888889,0.05407227133333334,6.650470415777777,6.438507398,9.539989047999999,0.8650869394444445,68.52512698666666,0.8807562721111112,-0.023671659111111108,0.7266601091111111,1.9723167419999998,0.9444833728888887,1.288739615111111,0.8397409651111113,0.580316941,0.18335419155555557,0.13488835677777777,2.5729485087777775,3.0,0.3802761749347619,0.43849090272146035,0.007767948409154712,0.2332322132104996,0.6933480763868456,0.009143719262476297,76.8,0.3419067361604454,0.026234783304488068,0.10126455444891974,3.8599348534201954,6.181520274062837,4.0,1.0,1.0
Oceania,7.261199951,0.040653291999999994,7.340880393999999,7.1815195085,10.610769744999999,0.9469867945000001,73.403583525,0.9258246125,0.19102911649999998,0.31815398500000003,1.9723167419999998,1.2763571740000001,1.482182324,1.0153729915,0.6343335505000001,0.32534991199999996,0.3986323475,2.1289560795,2.0,0.07018584837646401,0.1400460344164612,0.00938637451085649,0.3134967894148726,0.8543377819459066,0.016376697954508267,82.69999999999999,0.3425069400771443,0.05708449001285739,0.1623632625775534,2.844262295081968,7.649857623456647,2.0,0.0,0.0
South America,5.9397099972,0.052293192499999995,6.0422047137999995,5.837215280499999,9.477926921799998,0.8743995845000001,67.423274232,0.8174079001000001,-0.11669104909999999,0.8140779673,1.9723167419999998,0.9252480747,1.3107355357,0.8000725388,0.5043908804,0.12183436080000001,0.0784487293,2.1989675282,5.0,0.5177612628509688,0.43018032723578103,0.006776159964203117,0.18250592138693214,0.6426651282263932,0.02076438397891906,75.78000000000002,0.3019599864986314,0.02885440371096545,0.0897318021946145,3.109813084112149,5.382405040307647,6.0,1.0,1.0
